K,C,Y,X,R,S,T
192,64,56,56,3,3,1
128,128,200,200,3,3,1
3072,4096,320,1,1,1,1
256,64,13,13,3,3,1
256,1024,28,28,1,1,1
64,3,513,513,7,7,1
128,768,5,5,1,1,1
512,128,65,65,1,1,1
256,512,28,28,1,1,1
128,512,100,100,1,1,1
512,128,65,65,1,1,1
256,64,129,129,1,1,1
16,512,14,14,3,3,1
512,256,129,129,1,1,1
256,1024,65,65,1,1,1
256,256,50,50,3,3,1
48,16,14,14,3,3,1
64,256,56,56,1,1,1
1024,256,50,50,1,1,1
1024,2048,7,7,1,1,1
64,64,129,129,3,3,1
256,64,56,56,1,1,1
512,512,14,14,3,3,1
1024,256,65,65,1,1,1
1,576,14,14,3,3,1
512,1024,65,65,1,1,1
256,1024,65,65,1,1,1
1,120,28,28,5,5,1
256,1024,65,65,1,1,1
1000,2048,7,7,7,7,1
1024,256,65,65,1,1,1
64,256,200,200,1,1,1
1024,256,65,65,1,1,1
256,2048,1,1,1,1,1
256,256,50,50,3,3,1
256,256,50,50,3,3,1
2,1024,1,1,1,1,1
64,64,200,200,3,3,1
2048,512,28,28,1,1,1
256,256,200,200,3,3,1
